endTime,artistName,trackName,msPlayed
2022-07-06 19:33,Rae Sremmurd,Black Beatles,291892
2022-07-06 19:38,Rae Sremmurd,No Type,200079
2022-07-06 19:39,Rae Sremmurd,Chanel (feat. Swae Lee & Pharrell) - From Jxmtro,14848
2022-07-06 19:39,Mariah the Scientist,7am,3200
2022-07-06 19:39,Mariah the Scientist,Walked In (feat. Young Thug),4630
2022-07-06 19:39,Mariah the Scientist,Always n Forever (feat. Lil Baby),8950
2022-07-06 19:43,Rema,Hold Me,249956
2022-07-06 19:56,Major Lazer,Loyal,185624
2022-07-06 19:56,Maleek Berry,For My People (feat. Sneakbo),9964
2022-07-06 20:50,Rema,Wine,230129
2022-07-06 20:53,Rema,Spaceship Jocelyn,199249
2022-07-06 20:58,Oxlade,DKT,138181
2022-07-06 21:01,Maleek Berry,Eko Miami,2039
2022-07-06 21:01,Rema,Bounce,187781
2022-07-06 21:15,SPINALL,Jabole,165299
2022-07-06 21:16,Rema,Fame - A COLORS ENCORE,43838
2022-07-06 21:19,Rema,Are You There?,193379
2022-07-06 21:23,Rema,Time N Affection,230721
2022-07-06 21:35,D'Prince,One Shirt (feat. Jonzing World),62164
2022-07-06 21:39,Ajebutter22,Unconditionally,197227
2022-07-06 21:41,Joeboy,Fààjí,149741
2022-07-06 21:42,Dolapo,Interest (feat. Ms Banks & Oxlade),57627
2022-07-06 21:45,Rema,Beamer (Bad Boys),195047
2022-07-06 21:48,Rema,Jo,187562
2022-07-06 21:52,Rema,Oroma Baby,209697
2022-07-06 21:55,Rema,Soundgasm,204754
2022-07-06 22:00,Prettyboy D-O,Kumbaye / Sideman Interlude,298883
2022-07-06 22:03,Prettyboy D-O,Reality,177969
2022-07-06 22:05,Rema,Iron Man,84482
2022-07-07 20:48,Victony,All Power,192284
2022-07-07 20:52,RDX,Kotch,195317
2022-07-07 20:55,Davido,Birthday Cake (feat. Nas & Hit-boy),169999
2022-07-07 20:58,Malu Trevejo,Como Tú Me Quieres,190983
2022-07-07 21:02,mike.,Swish,278519
2022-07-07 21:10,One Acen,Xpensive Habits,146437
2022-07-07 21:13,Victony,All Power,192284
2022-07-07 21:17,Ayo Jay,Let Him Go,233285
2022-07-07 21:21,Ariana Grande,"break up with your girlfriend, i'm bored",190439
2022-07-07 21:23,Saweetie,Dipped In Ice,169409
2022-07-07 21:26,Chop Daily,Turn It Up,157590
2022-07-07 21:28,NSG,Natural Disaster,109422
2022-07-07 23:31,Burna Boy,Glory (feat. Ladysmith Black Mambazo),231205
2022-07-07 23:35,Burna Boy,Science,201793
2022-07-07 23:38,Burna Boy,Cloak & Dagger (feat. J Hus),211050
2022-07-07 23:41,Burna Boy,Kilometre,178282
2022-07-07 23:45,Burna Boy,Jagele,182037
2022-07-07 23:49,Burna Boy,Whiskey,203576
2022-07-07 23:53,Burna Boy,Last Last,172342
2022-07-07 23:57,Burna Boy,Different Size (feat. Victony),209968
2022-07-08 00:00,Burna Boy,It's Plenty,216991
